event_type,release_date_et,release_ts_utc,metric,actual,consensus,surprise,z,consensus_source,actual_source,consensus_note
NFP,2024-01-05,2024-01-05T13:30:00Z,headline_nfp_change_k,154.0,170.0,-16.0,-0.1682,investing.com/Wayback,bls.gov,
CPI,2024-01-11,2024-01-11T13:30:00Z,headline_cpi_mom_pct,-0.0993,0.2,-0.2993,-1.5099,investing.com/Wayback,bls.gov,
NFP,2024-02-02,2024-02-02T13:30:00Z,headline_nfp_change_k,175.0,187.0,-12.0,-0.1262,investing.com/Wayback,bls.gov,
CPI,2024-02-13,2024-02-13T13:30:00Z,headline_cpi_mom_pct,0.5448,0.2,0.3448,1.7394,investing.com/Wayback,bls.gov,
NFP,2024-03-08,2024-03-08T13:30:00Z,headline_nfp_change_k,206.0,198.0,8.0,0.0841,investing.com/Wayback,bls.gov,
CPI,2024-03-12,2024-03-12T12:30:00Z,headline_cpi_mom_pct,0.619,0.4,0.219,1.1048,investing.com/Wayback,bls.gov,
NFP,2024-04-05,2024-04-05T12:30:00Z,headline_nfp_change_k,228.0,212.0,16.0,0.1682,investing.com/Wayback,bls.gov,
CPI,2024-04-10,2024-04-10T12:30:00Z,headline_cpi_mom_pct,0.6464,0.3,0.3464,1.7475,investing.com/Wayback,bls.gov,
NFP,2024-05-03,2024-05-03T12:30:00Z,headline_nfp_change_k,64.0,238.0,-174.0,-1.8292,investing.com/Wayback,bls.gov,
CPI,2024-05-15,2024-05-15T12:30:00Z,headline_cpi_mom_pct,0.3893,0.4,-0.0107,-0.054,investing.com/Wayback,bls.gov,
NFP,2024-06-07,2024-06-07T12:30:00Z,headline_nfp_change_k,78.0,182.0,-104.0,-1.0933,investing.com/Wayback,bls.gov,
CPI,2024-06-12,2024-06-12T12:30:00Z,headline_cpi_mom_pct,0.1662,0.1,0.0662,0.334,investing.com/Wayback,bls.gov,
NFP,2024-07-05,2024-07-05T12:30:00Z,headline_nfp_change_k,87.0,191.0,-104.0,-1.0933,investing.com/Wayback,bls.gov,
CPI,2024-07-11,2024-07-11T12:30:00Z,headline_cpi_mom_pct,0.0338,0.1,-0.0662,-0.334,investing.com/Wayback,bls.gov,
NFP,2024-08-02,2024-08-02T12:30:00Z,headline_nfp_change_k,53.0,176.0,-123.0,-1.2931,investing.com/Wayback,bls.gov,
CPI,2024-08-14,2024-08-14T12:30:00Z,headline_cpi_mom_pct,0.1162,0.2,-0.0838,-0.4227,investing.com/Wayback,bls.gov,
