token_symbol,binance_symbol,unlock_ts_utc,unlock_type,unlock_pct_of_supply,recipient_category,days_from_listing,source
APE,APEUSDT,2023-05-17T00:00:00Z,cliff,4.82,team+investor,384,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
BIT,BITUSDT,2023-05-15T00:00:00Z,cliff,12.5,team+investor,364,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
SAND,SANDUSDT,2023-08-14T00:00:00Z,cliff,15.52,team+investor,577,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
APT,APTUSDT,2023-10-12T00:00:00Z,cliff,2.02,team+investor,358,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
OP,OPUSDT,2023-05-31T00:00:00Z,cliff,3.78,ecosystem,364,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ARB,ARBUSDT,2023-09-16T00:00:00Z,linear,1.12,team+investor,177,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
GALA,GALAUSDT,2023-06-07T00:00:00Z,cliff,4.1,ecosystem,632,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
SUI,SUIUSDT,2023-10-04T00:00:00Z,linear,1.15,investor,154,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
JTO,JTOUSDT,2023-12-07T00:00:00Z,cliff,0.28,airdrop,0,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ARB,ARBUSDT,2024-03-16T00:00:00Z,cliff,10.05,team+investor,359,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
AEVO,AEVOUSDT,2024-05-15T00:00:00Z,cliff,25.8,investor+team,63,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
BLUR,BLURUSDT,2024-06-14T00:00:00Z,cliff,5.2,team+investor,486,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
APT,APTUSDT,2024-01-12T00:00:00Z,cliff,2.02,team+investor,451,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
IMX,IMXUSDT,2024-02-14T00:00:00Z,cliff,2.31,investor,830,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
STRK,STRKUSDT,2024-04-15T00:00:00Z,cliff,4.35,team+investor,55,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
DYM,DYMUSDT,2024-05-08T00:00:00Z,cliff,11.2,investor+team,92,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ENA,ENAUSDT,2024-06-02T00:00:00Z,cliff,3.2,investor,61,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
WIF,WIFUSDT,2024-07-20T00:00:00Z,cliff,0.0,community,137,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
PIXEL,PIXELUSDT,2024-08-19T00:00:00Z,cliff,14.1,ecosystem,182,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
SUI,SUIUSDT,2024-09-04T00:00:00Z,linear,3.12,investor+team,490,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
AXS,AXSUSDT,2024-10-25T00:00:00Z,linear,8.35,team+investor,1451,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
RON,RONUSDT,2024-10-28T00:00:00Z,cliff,9.89,investor+team,1090,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
APT,APTUSDT,2024-11-12T00:00:00Z,cliff,2.02,team+investor,755,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
TAO,TAOUSDT,2024-12-10T00:00:00Z,cliff,0.85,miner,637,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
FTM,FTMUSDT,2024-03-01T00:00:00Z,cliff,1.5,ecosystem,1628,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ALT,ALTUSDT,2024-07-25T00:00:00Z,cliff,5.95,investor,182,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
APT,APTUSDT,2025-01-12T00:00:00Z,cliff,2.02,team+investor,816,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
SUI,SUIUSDT,2025-02-01T00:00:00Z,linear,3.12,investor+team,640,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
MOVE,MOVEUSDT,2025-03-09T00:00:00Z,cliff,12.5,team+investor,89,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
TRUMP,TRUMPUSDT,2025-04-18T00:00:00Z,cliff,20.0,team,90,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
LINEA,LINEAUSDT,2025-11-10T00:00:00Z,cliff,3.58,investor+team,61,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
