proxy,source_ticker,granularity,bar_open_utc,close_ts_utc,close,is_weekend_gap_after
dxy,DX-Y.NYB,1h,2024-01-26T05:00:00+00:00,2024-01-26T06:00:00+00:00,103.505997,false
dxy,DX-Y.NYB,1h,2024-01-26T06:00:00+00:00,2024-01-26T07:00:00+00:00,103.606003,false
dxy,DX-Y.NYB,1h,2024-01-26T07:00:00+00:00,2024-01-26T08:00:00+00:00,103.675003,false
dxy,DX-Y.NYB,1h,2024-01-26T08:00:00+00:00,2024-01-26T09:00:00+00:00,103.526001,false
dxy,DX-Y.NYB,1h,2024-01-26T09:00:00+00:00,2024-01-26T10:00:00+00:00,103.481003,false
dxy,DX-Y.NYB,1h,2024-01-26T10:00:00+00:00,2024-01-26T11:00:00+00:00,103.316002,false
dxy,DX-Y.NYB,1h,2024-01-26T11:00:00+00:00,2024-01-26T12:00:00+00:00,103.250999,false
dxy,DX-Y.NYB,1h,2024-01-26T12:00:00+00:00,2024-01-26T13:00:00+00:00,103.308998,false
dxy,DX-Y.NYB,1h,2024-01-26T13:00:00+00:00,2024-01-26T14:00:00+00:00,103.237000,false
dxy,DX-Y.NYB,1h,2024-01-26T14:00:00+00:00,2024-01-26T15:00:00+00:00,103.263000,false
dxy,DX-Y.NYB,1h,2024-01-26T15:00:00+00:00,2024-01-26T16:00:00+00:00,103.370003,false
dxy,DX-Y.NYB,1h,2024-01-26T16:00:00+00:00,2024-01-26T17:00:00+00:00,103.364998,false
dxy,DX-Y.NYB,1h,2024-01-26T17:00:00+00:00,2024-01-26T18:00:00+00:00,103.390999,false
dxy,DX-Y.NYB,1h,2024-01-26T18:00:00+00:00,2024-01-26T19:00:00+00:00,103.463997,false
dxy,DX-Y.NYB,1h,2024-01-26T19:00:00+00:00,2024-01-26T20:00:00+00:00,103.432999,false
dxy,DX-Y.NYB,1h,2024-01-26T20:00:00+00:00,2024-01-26T21:00:00+00:00,103.458000,false
dxy,DX-Y.NYB,1h,2024-01-26T21:00:00+00:00,2024-01-26T22:00:00+00:00,103.473999,false
dxy,DX-Y.NYB,1h,2024-01-28T22:00:00+00:00,2024-01-28T23:00:00+00:00,103.473999,false
dxy,DX-Y.NYB,1h,2024-01-28T23:00:00+00:00,2024-01-29T00:00:00+00:00,103.547997,false
dxy,DX-Y.NYB,1h,2024-01-29T00:00:00+00:00,2024-01-29T01:00:00+00:00,103.535004,false
dxy,DX-Y.NYB,1h,2024-01-29T01:00:00+00:00,2024-01-29T02:00:00+00:00,103.517998,false
dxy,DX-Y.NYB,1h,2024-01-29T02:00:00+00:00,2024-01-29T03:00:00+00:00,103.525002,false
dxy,DX-Y.NYB,1h,2024-01-29T03:00:00+00:00,2024-01-29T04:00:00+00:00,103.510002,false
dxy,DX-Y.NYB,1h,2024-01-29T04:00:00+00:00,2024-01-29T05:00:00+00:00,103.503998,false
dxy,DX-Y.NYB,1h,2024-01-29T05:00:00+00:00,2024-01-29T06:00:00+00:00,103.532997,false
dxy,DX-Y.NYB,1h,2024-01-29T06:00:00+00:00,2024-01-29T07:00:00+00:00,103.471001,false
