proxy,source_ticker,granularity,bar_open_utc,close_ts_utc,close,is_weekend_gap_after
vix,^VIX,1h,2023-09-01T08:00:00+00:00,2023-09-01T09:00:00+00:00,13.490000,false
vix,^VIX,1h,2023-09-01T09:00:00+00:00,2023-09-01T10:00:00+00:00,13.490000,false
vix,^VIX,1h,2023-09-01T10:00:00+00:00,2023-09-01T11:00:00+00:00,13.460000,false
vix,^VIX,1h,2023-09-01T11:00:00+00:00,2023-09-01T12:00:00+00:00,13.470000,false
vix,^VIX,1h,2023-09-01T12:00:00+00:00,2023-09-01T13:00:00+00:00,13.280000,false
vix,^VIX,1h,2023-09-01T13:00:00+00:00,2023-09-01T14:00:00+00:00,13.270000,false
vix,^VIX,1h,2023-09-01T14:00:00+00:00,2023-09-01T15:00:00+00:00,13.300000,false
vix,^VIX,1h,2023-09-01T15:00:00+00:00,2023-09-01T16:00:00+00:00,13.260000,false
vix,^VIX,1h,2023-09-01T16:00:00+00:00,2023-09-01T17:00:00+00:00,13.090000,false
vix,^VIX,1h,2023-09-01T17:00:00+00:00,2023-09-01T18:00:00+00:00,13.120000,false
vix,^VIX,1h,2023-09-01T18:00:00+00:00,2023-09-01T19:00:00+00:00,13.120000,false
vix,^VIX,1h,2023-09-01T19:00:00+00:00,2023-09-01T20:00:00+00:00,13.100000,false
vix,^VIX,1h,2023-09-01T20:00:00+00:00,2023-09-01T21:00:00+00:00,13.080000,false
vix,^VIX,1h,2023-09-04T07:00:00+00:00,2023-09-04T08:00:00+00:00,13.570000,false
vix,^VIX,1h,2023-09-04T08:00:00+00:00,2023-09-04T09:00:00+00:00,13.550000,false
vix,^VIX,1h,2023-09-04T09:00:00+00:00,2023-09-04T10:00:00+00:00,13.570000,false
vix,^VIX,1h,2023-09-04T10:00:00+00:00,2023-09-04T11:00:00+00:00,13.580000,false
vix,^VIX,1h,2023-09-04T11:00:00+00:00,2023-09-04T12:00:00+00:00,13.620000,false
vix,^VIX,1h,2023-09-04T12:00:00+00:00,2023-09-04T13:00:00+00:00,13.660000,false
vix,^VIX,1h,2023-09-04T13:00:00+00:00,2023-09-04T14:00:00+00:00,13.680000,false
vix,^VIX,1h,2023-09-04T14:00:00+00:00,2023-09-04T15:00:00+00:00,13.810000,false
vix,^VIX,1h,2023-09-04T15:00:00+00:00,2023-09-04T16:00:00+00:00,13.820000,false
vix,^VIX,1h,2023-09-05T07:00:00+00:00,2023-09-05T08:00:00+00:00,14.270000,false
vix,^VIX,1h,2023-09-05T08:00:00+00:00,2023-09-05T09:00:00+00:00,14.270000,false
vix,^VIX,1h,2023-09-05T09:00:00+00:00,2023-09-05T10:00:00+00:00,14.190000,false
vix,^VIX,1h,2023-09-05T10:00:00+00:00,2023-09-05T11:00:00+00:00,14.190000,false
vix,^VIX,1h,2023-09-05T11:00:00+00:00,2023-09-05T12:00:00+00:00,14.190000,false
vix,^VIX,1h,2023-09-05T12:00:00+00:00,2023-09-05T13:00:00+00:00,14.120000,false
vix,^VIX,1h,2023-09-05T13:00:00+00:00,2023-09-05T14:00:00+00:00,14.300000,false
vix,^VIX,1h,2023-09-05T14:00:00+00:00,2023-09-05T15:00:00+00:00,14.170000,false
vix,^VIX,1h,2023-09-05T15:00:00+00:00,2023-09-05T16:00:00+00:00,13.970000,false
vix,^VIX,1h,2023-09-05T16:00:00+00:00,2023-09-05T17:00:00+00:00,13.790000,false
vix,^VIX,1h,2023-09-05T17:00:00+00:00,2023-09-05T18:00:00+00:00,13.870000,false
vix,^VIX,1h,2023-09-05T18:00:00+00:00,2023-09-05T19:00:00+00:00,13.720000,false
vix,^VIX,1h,2023-09-05T19:00:00+00:00,2023-09-05T20:00:00+00:00,13.960000,false
vix,^VIX,1h,2023-09-05T20:00:00+00:00,2023-09-05T21:00:00+00:00,14.000000,false
vix,^VIX,1h,2023-09-06T07:00:00+00:00,2023-09-06T08:00:00+00:00,14.310000,false
vix,^VIX,1h,2023-09-06T08:00:00+00:00,2023-09-06T09:00:00+00:00,14.220000,false
vix,^VIX,1h,2023-09-06T09:00:00+00:00,2023-09-06T10:00:00+00:00,14.200000,false
vix,^VIX,1h,2023-09-06T10:00:00+00:00,2023-09-06T11:00:00+00:00,14.210000,false
vix,^VIX,1h,2023-09-06T11:00:00+00:00,2023-09-06T12:00:00+00:00,14.240000,false
vix,^VIX,1h,2023-09-06T12:00:00+00:00,2023-09-06T13:00:00+00:00,14.250000,false
vix,^VIX,1h,2023-09-06T13:00:00+00:00,2023-09-06T14:00:00+00:00,14.230000,false
vix,^VIX,1h,2023-09-06T14:00:00+00:00,2023-09-06T15:00:00+00:00,14.530000,false
vix,^VIX,1h,2023-09-06T15:00:00+00:00,2023-09-06T16:00:00+00:00,14.520000,false
vix,^VIX,1h,2023-09-06T16:00:00+00:00,2023-09-06T17:00:00+00:00,15.160000,false
vix,^VIX,1h,2023-09-06T17:00:00+00:00,2023-09-06T18:00:00+00:00,14.780000,false
vix,^VIX,1h,2023-09-06T18:00:00+00:00,2023-09-06T19:00:00+00:00,14.540000,false
vix,^VIX,1h,2023-09-06T19:00:00+00:00,2023-09-06T20:00:00+00:00,14.340000,false
vix,^VIX,1h,2023-09-06T20:00:00+00:00,2023-09-06T21:00:00+00:00,14.460000,false
vix,^VIX,1h,2023-09-07T07:00:00+00:00,2023-09-07T08:00:00+00:00,14.760000,false
vix,^VIX,1h,2023-09-07T08:00:00+00:00,2023-09-07T09:00:00+00:00,14.820000,false
vix,^VIX,1h,2023-09-07T09:00:00+00:00,2023-09-07T10:00:00+00:00,14.760000,false
vix,^VIX,1h,2023-09-07T10:00:00+00:00,2023-09-07T11:00:00+00:00,14.880000,false
vix,^VIX,1h,2023-09-07T11:00:00+00:00,2023-09-07T12:00:00+00:00,14.960000,false
vix,^VIX,1h,2023-09-07T12:00:00+00:00,2023-09-07T13:00:00+00:00,15.530000,false
vix,^VIX,1h,2023-09-07T13:00:00+00:00,2023-09-07T14:00:00+00:00,15.500000,false
vix,^VIX,1h,2023-09-07T14:00:00+00:00,2023-09-07T15:00:00+00:00,15.180000,false
vix,^VIX,1h,2023-09-07T15:00:00+00:00,2023-09-07T16:00:00+00:00,15.160000,false
vix,^VIX,1h,2023-09-07T16:00:00+00:00,2023-09-07T17:00:00+00:00,14.990000,false
vix,^VIX,1h,2023-09-07T17:00:00+00:00,2023-09-07T18:00:00+00:00,14.750000,false
vix,^VIX,1h,2023-09-07T18:00:00+00:00,2023-09-07T19:00:00+00:00,14.650000,false
vix,^VIX,1h,2023-09-07T19:00:00+00:00,2023-09-07T20:00:00+00:00,14.430000,false
vix,^VIX,1h,2023-09-07T20:00:00+00:00,2023-09-07T21:00:00+00:00,14.410000,false
vix,^VIX,1h,2023-09-08T07:00:00+00:00,2023-09-08T08:00:00+00:00,14.240000,false
vix,^VIX,1h,2023-09-08T08:00:00+00:00,2023-09-08T09:00:00+00:00,14.650000,false
vix,^VIX,1h,2023-09-08T09:00:00+00:00,2023-09-08T10:00:00+00:00,14.740000,false
vix,^VIX,1h,2023-09-08T10:00:00+00:00,2023-09-08T11:00:00+00:00,14.560000,false
vix,^VIX,1h,2023-09-08T11:00:00+00:00,2023-09-08T12:00:00+00:00,14.640000,false
vix,^VIX,1h,2023-09-08T12:00:00+00:00,2023-09-08T13:00:00+00:00,14.470000,false
