name,strategy_label,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,wfo_windows,oos_total_trades,oos_mean_sharpe,oos_mean_win_rate,oos_total_return_pct,oos_profit_factor,time_stop_minutes,sl_atr,tp_atr,trailing_act,trailing_off,passes_gates,failure_reasons
CCI_100_-100_ATR0.005_TS1440_SL1.5_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,111,0.46846846846846846,-18.68862536273864,25.032249541807904,-0.3915864283338288,-0.5737254124613983,0.856345641617478,3,36,2.041329173850408,0.6434676434676434,31.096558449654687,0.0,1440,1.5,3.0,2.0,1.0,False,drawdown
CCI_100_-100_ATR0.008_TS1440_SL1.5_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,111,0.46846846846846846,-18.68862536273864,25.032249541807904,-0.3915864283338288,-0.5737254124613983,0.856345641617478,3,36,2.041329173850408,0.6434676434676434,31.096558449654687,0.0,1440,1.5,3.0,2.0,1.0,False,drawdown
CCI_100_-100_ATR0.005_TS1440_SL2.0_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,111,0.4864864864864865,-23.510145471553294,27.40565300291261,-0.5131459413326369,-0.741662349618975,0.8239370610297979,3,36,1.9288942474288735,0.6434676434676434,28.589209841026708,0.0,1440,2.0,3.0,2.0,1.0,False,drawdown
CCI_100_-100_ATR0.008_TS1440_SL2.0_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,111,0.4864864864864865,-23.510145471553294,27.40565300291261,-0.5131459413326369,-0.741662349618975,0.8239370610297979,3,36,1.9288942474288735,0.6434676434676434,28.589209841026708,0.0,1440,2.0,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.005_TS1440_SL1.5_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,108,0.48148148148148145,-6.522057068277717,37.469633270097944,-0.05415733887425029,-0.08400988338357587,0.9504167471004342,3,33,1.705147924381594,0.5767935767935768,25.99998935184984,0.0,1440,1.5,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.008_TS1440_SL1.5_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,108,0.48148148148148145,-6.522057068277717,37.469633270097944,-0.05415733887425029,-0.08400988338357587,0.9504167471004342,3,33,1.705147924381594,0.5767935767935768,25.99998935184984,0.0,1440,1.5,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.005_TS1440_SL2.0_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,108,0.5,-8.783440809115746,35.995785889503814,-0.10296211231434738,-0.15805395415515525,0.9347407272943916,3,33,1.6059554062222394,0.5767935767935768,24.19203071107634,0.0,1440,2.0,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.008_TS1440_SL2.0_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,108,0.5,-8.783440809115746,35.995785889503814,-0.10296211231434738,-0.15805395415515525,0.9347407272943916,3,33,1.6059554062222394,0.5767935767935768,24.19203071107634,0.0,1440,2.0,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.005_TS1440_SL2.5_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,107,0.4953271028037383,-24.187836512606882,37.20744603665081,-0.4917076229200028,-0.7024420656069551,0.8019751867620261,3,33,1.460758760220056,0.5464905464905465,21.120870358055033,0.0,1440,2.5,3.0,2.5,1.5,False,drawdown
CCI_80_-80_ATR0.008_TS1440_SL2.5_TP3.0,cci_breakout,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-07T16:00:00+00:00,107,0.4953271028037383,-24.187836512606882,37.20744603665081,-0.4917076229200028,-0.7024420656069551,0.8019751867620261,3,33,1.460758760220056,0.5464905464905465,21.120870358055033,0.0,1440,2.5,3.0,2.5,1.5,False,drawdown
