name,strategy_label,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,wfo_windows,oos_total_trades,oos_mean_sharpe,oos_mean_win_rate,oos_total_return_pct,oos_profit_factor,time_stop_minutes,sl_atr,tp_atr,trailing_act,trailing_off,passes_gates,failure_reasons
BB_D0.0_RSI30_70_TS720_SL2.0_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,190,0.49473684210526314,-54.05293816390192,60.31052971798243,-1.477743344298105,-1.911970069159221,0.6016256866897733,3,65,-1.4535191602330597,0.4996031746031746,-25.26515379364377,0.0,720,2.0,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
BB_D0.0_RSI30_70_TS720_SL2.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,188,0.4946808510638298,-58.21638300969848,63.84441551728584,-1.6390329682967404,-2.067297305272874,0.5710187659591666,3,64,-1.7185353194443398,0.5101294903926483,-28.942829377674585,0.0,720,2.5,3.0,2.5,1.5,False,"drawdown,oos_sharpe"
BB_D0.0_RSI30_70_TS720_SL1.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,190,0.47368421052631576,-60.40639918597951,64.79551427194473,-1.8495802624229578,-2.3696142100489044,0.5463946211337452,3,65,-1.9385776929976597,0.482936507936508,-30.323786838417675,0.0,720,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
BB_D0.003_RSI32_68_TS720_SL2.0_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,236,0.4533898305084746,-72.7147641136191,75.34299467365439,-2.262217491092505,-2.8560776601246625,0.520330388288058,3,78,-2.0902241228873586,0.46961926961926964,-35.114919596192784,0.0,720,2.0,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
BB_D0.003_RSI32_68_TS720_SL2.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,234,0.45726495726495725,-74.28698067794403,77.08985674069868,-2.2880078961613184,-2.842268681741142,0.51912028444169,3,77,-2.3640223262390134,0.4789987789987791,-38.30789165784745,0.0,720,2.5,3.0,2.5,1.5,False,"drawdown,oos_sharpe"
BB_D0.0_RSI30_70_TS240_SL1.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,240,0.41666666666666674,-66.2508963593036,67.6208301778555,-3.003772697867699,-3.559899996961619,0.449802242472895,3,82,-4.481705404471742,0.35703703703703704,-40.80044907217155,0.0,240,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe,oos_win_rate"
BB_D0.003_RSI32_68_TS720_SL1.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,236,0.44067796610169485,-74.6113724607817,77.28341010716834,-2.506817206058261,-3.1722941637558146,0.49830844336772484,3,78,-2.7895668810727456,0.4544677544677545,-41.9007289987566,0.0,720,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
BB_D0.0_RSI30_70_TS240_SL2.0_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,240,0.425,-66.16909595683227,67.5423501935769,-2.9047961603346164,-3.4054820922050157,0.4553735491843714,3,82,-4.387861713263142,0.35703703703703704,-41.96337407786079,0.0,240,2.0,3.0,2.0,1.0,False,"drawdown,oos_sharpe,oos_win_rate"
BB_D0.0_RSI30_70_TS240_SL2.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,240,0.42916666666666664,-65.67907264487644,67.07221776565979,-2.816271638113541,-3.283425065283342,0.46651357399563925,3,82,-4.3640529191483965,0.35703703703703704,-42.66221938061459,0.0,240,2.5,3.0,2.5,1.5,False,"drawdown,oos_sharpe,oos_win_rate"
BB_D0.005_RSI35_65_TS240_SL1.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,412,0.41262135922330095,-81.75972076039041,83.02724139847341,-3.651766725903585,-4.497897313085889,0.5374110631615008,3,143,-4.430899074698037,0.3833275669857379,-48.360230375181246,0.0,240,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe,oos_win_rate"
BB_D0.005_RSI35_65_TS240_SL2.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,412,0.4199029126213592,-81.64253293209279,82.91819697570966,-3.487231806713513,-4.224486603035403,0.5420465553892899,3,143,-4.330871016752826,0.3833275669857379,-48.58146569950156,0.0,240,2.5,3.0,2.5,1.5,False,"drawdown,oos_sharpe,oos_win_rate"
BB_D0.003_RSI32_68_TS240_SL1.5_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,317,0.42586750788643535,-72.99415534827953,73.82495524425151,-3.2664617517708714,-3.9006609421275704,0.5141417658522813,3,109,-5.185347729810451,0.3494832041343669,-48.79927751629274,0.0,240,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe,oos_win_rate"
BB_D0.005_RSI35_65_TS240_SL2.0_TP3.0,bollinger_bounce,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,412,0.4174757281553398,-82.23577985743097,83.47021905402289,-3.5941169144833895,-4.363007005266519,0.5321386528457962,3,143,-4.446713501239433,0.3833275669857379,-49.80440503190749,0.0,240,2.0,3.0,2.0,1.0,False,"drawdown,oos_sharpe,oos_win_rate"
