name,strategy_label,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,wfo_windows,oos_total_trades,oos_mean_sharpe,oos_mean_win_rate,oos_total_return_pct,oos_profit_factor,time_stop_minutes,sl_atr,tp_atr,trailing_act,trailing_off,passes_gates,failure_reasons
MR_L120_ZE2.0_ZX0.25_TS1440_SL2.5_TP3.0,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,18,0.6666666666666665,23.288804192310163,5.291910217035705,1.2389924940490658,1.9738820785589843,3.5163428539602424,3,4,1.608628442220345,0.3333333333333333,14.309526559512786,0.0,1440,2.5,3.0,2.5,1.5,False,"oos_trades,oos_win_rate"
MR_L120_ZE2.0_ZX0.25_TS1440_SL2.0_TP3.0,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,18,0.6666666666666665,16.376431257877865,5.291910217035705,0.9519191141337416,1.438539313238979,2.78713708078464,3,4,1.2630001285285186,0.3333333333333333,9.802558287826745,0.0,1440,2.0,3.0,2.0,1.0,False,"oos_trades,oos_win_rate"
MR_L120_ZE2.0_ZX0.25_TS1440_SL2.0_TP4.5,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,18,0.6666666666666665,13.431052843466915,5.291910217035705,0.8055909559818331,1.1918307813446414,2.474372774222689,3,4,1.1058809718137244,0.3333333333333333,8.716856099550153,0.0,1440,2.0,4.5,1.5,1.0,False,"oos_trades,oos_win_rate"
MR_L120_ZE2.0_ZX0.25_TS720_SL2.0_TP3.0,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,18,0.4444444444444444,4.430935283026611,2.923345812262669,0.4353983096001425,0.7204412892872604,1.4886046664384218,3,4,0.9672405715070744,0.25,4.481785915791514,0.0,720,2.0,3.0,2.0,1.0,False,"oos_trades,oos_win_rate"
MR_L120_ZE2.0_ZX0.25_TS720_SL2.5_TP3.0,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,18,0.4444444444444444,6.525026930937838,2.9233458122626526,0.5978140207781157,1.0356614403184587,1.7133680456213243,3,4,0.9672405715070744,0.25,4.481785915791514,0.0,720,2.5,3.0,2.5,1.5,False,"oos_trades,oos_win_rate"
MR_L120_ZE2.0_ZX0.25_TS720_SL2.0_TP4.5,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,18,0.4444444444444444,2.8043921241500174,4.251295439779718,0.2963605774874976,0.4711845763371237,1.3113300852396037,3,4,0.9672405715070744,0.25,4.481785915791514,0.0,720,2.0,4.5,1.5,1.0,False,"oos_trades,oos_win_rate"
MR_L96_ZE1.75_ZX0.35_TS1440_SL2.0_TP3.0,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,34,0.5882352941176471,-18.67051558446075,23.896130942038035,-0.6981075757046583,-0.8344349018879087,0.5337577126962124,3,4,0.5910778158017654,0.25,3.549800385649715,0.0,1440,2.0,3.0,2.0,1.0,False,"oos_trades,drawdown,oos_win_rate"
MR_L96_ZE1.75_ZX0.35_TS1440_SL2.5_TP3.0,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,34,0.5588235294117647,-20.519654058328214,25.626457812994552,-0.7888280085681542,-0.9392096125535996,0.48905254009409715,3,4,0.5910778158017654,0.25,3.549800385649715,0.0,1440,2.5,3.0,2.5,1.5,False,"oos_trades,drawdown,oos_win_rate"
MR_L96_ZE1.75_ZX0.35_TS1440_SL2.0_TP4.5,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,34,0.6176470588235294,-16.36948734365087,21.74294931060733,-0.6202807085533224,-0.7409414864668081,0.5908604697210128,3,4,0.5910778158017654,0.25,3.549800385649715,0.0,1440,2.0,4.5,1.5,1.0,False,"oos_trades,drawdown,oos_win_rate"
MR_L96_ZE1.75_ZX0.35_TS720_SL2.0_TP3.0,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,32,0.5,-14.252804750826437,17.332708052286872,-0.8690882110082436,-1.0474645340351203,0.5064559341362301,3,4,0.44897517974453566,0.25,1.5340476139726889,0.0,720,2.0,3.0,2.0,1.0,False,"oos_trades,drawdown,oos_win_rate"
MR_L96_ZE1.75_ZX0.35_TS720_SL2.5_TP3.0,mean_reversion,AVAXUSDT,4h,2024-02-11T16:00:00+00:00,2026-04-08T08:00:00+00:00,32,0.46875,-16.076356570104252,19.090760781451547,-0.9878682601843723,-1.1861720508964537,0.4524520506253961,3,4,0.44897517974453566,0.25,1.5340476139726889,0.0,720,2.5,3.0,2.5,1.5,False,"oos_trades,drawdown,oos_win_rate"
