name,strategy_label,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,wfo_windows,oos_total_trades,oos_mean_sharpe,oos_mean_win_rate,oos_total_return_pct,oos_profit_factor,time_stop_minutes,sl_atr,tp_atr,trailing_act,trailing_off,passes_gates,failure_reasons
CCI_100_-100_ATR0.008_TS240_SL2.5_TP3.0,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,143,30.069930069930066,-58.10084665880482,59.23169745777772,-2.725501433449054,-3.497285801038844,0.43059255923109274,3,47,-2.3172095565322777,30.606060606060606,-19.264873419548213,0.0,240,2.5,3.0,2.5,1.5,False,"drawdown,oos_sharpe"
CCI_80_-80_ATR0.008_TS240_SL2.5_TP3.0,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,160,30.0,-63.80006177752398,64.44505445107104,-3.43590928055303,-4.3223029606351195,0.3550553038625264,3,46,-2.381469976066146,35.07936507936508,-20.990219717914695,0.0,240,2.5,3.0,2.5,1.5,False,"drawdown,oos_sharpe"
CCI_100_-100_ATR0.008_TS240_SL2.0_TP3.0,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,143,30.069930069930066,-58.87714370792221,60.623060745673776,-2.7439726296641673,-3.559663459695261,0.4295972798089715,3,47,-2.7368562999862664,30.606060606060606,-21.285769016201083,0.0,240,2.0,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
CCI_100_-100_ATR0.008_TS240_SL2.0_TP4.5,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,143,30.069930069930066,-61.14874685462566,61.727411198803054,-3.0090017772423705,-3.798602465076491,0.3845203449218503,3,47,-2.7685522863599097,30.606060606060606,-21.400369444905287,0.0,240,2.0,4.5,1.5,1.0,False,"drawdown,oos_sharpe"
CCI_100_-100_ATR0.008_TS240_SL1.5_TP3.0,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,143,30.069930069930066,-57.19025491097857,59.430694562067764,-2.7173097132108843,-3.6188846494781086,0.439521300451882,3,47,-2.7454365586844283,30.606060606060606,-21.832360035886545,0.0,240,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
CCI_80_-80_ATR0.008_TS240_SL2.0_TP3.0,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,160,30.0,-63.122626824616525,64.12606643863484,-3.3160782902540786,-4.28643600297899,0.3674703493773842,3,46,-2.7124342443524765,35.07936507936508,-22.220351316613286,0.0,240,2.0,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
CCI_80_-80_ATR0.008_TS240_SL1.5_TP3.0,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,160,30.0,-62.89976693326841,63.90927060294196,-3.3429563357021337,-4.36207182724604,0.36798951704760297,3,46,-2.7056705550002165,35.07936507936508,-22.73799697915636,0.0,240,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
CCI_100_-100_ATR0.008_TS240_SL3.0_TP4.5,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,143,30.069930069930066,-61.69088704681639,62.033814247592524,-3.0637462735154712,-3.723315698644022,0.37168632261575935,3,47,-3.115786540596902,30.606060606060606,-22.816295140985186,0.0,240,3.0,4.5,2.0,1.5,False,"drawdown,oos_sharpe"
CCI_80_-80_ATR0.008_TS240_SL3.0_TP4.5,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,160,30.0,-65.08433296647284,65.70644312838057,-3.5727730209420865,-4.383299411921749,0.3326572138077441,3,46,-2.9067933440471285,35.07936507936508,-22.980776833856652,0.0,240,3.0,4.5,2.0,1.5,False,"drawdown,oos_sharpe"
CCI_80_-80_ATR0.008_TS240_SL2.0_TP4.5,cci_breakout,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,160,31.25,-64.39137014419212,65.87685658736572,-3.537173295474049,-4.446320750358991,0.343579838668711,3,46,-2.977725792098441,35.07936507936508,-23.129570081206918,0.0,240,2.0,4.5,1.5,1.0,False,"drawdown,oos_sharpe"
