name,strategy_label,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,wfo_windows,oos_total_trades,oos_mean_sharpe,oos_mean_win_rate,oos_total_return_pct,oos_profit_factor,time_stop_minutes,sl_atr,tp_atr,trailing_act,trailing_off,passes_gates,failure_reasons
MA_8_21_TS240_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS240_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS240_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS240_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS240_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS720_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS720_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS720_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS720_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS720_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS1440_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS1440_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS1440_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS1440_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_8_21_TS1440_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS240_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS240_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS240_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS240_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS240_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS720_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS720_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS720_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS720_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS720_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS1440_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS1440_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS1440_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS1440_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_10_30_TS1440_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS240_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS240_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS240_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS240_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS240_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,240,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS720_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS720_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS720_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS720_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS720_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS1440_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS1440_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS1440_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.0,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS1440_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,1.5,3.0,2.0,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_5_20_TS1440_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe,oos_win_rate"
MA_12_26_TS720_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,75,36.0,-43.823603064945324,45.13592636664284,-2.06772995185834,-2.6008820440345026,0.38190856443126325,3,29,-1.814436628979136,41.48148148148148,-15.496638678765539,0.0,720,1.5,3.0,2.0,1.0,False,"oos_trades,drawdown,oos_sharpe"
MA_12_26_TS720_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,75,36.0,-45.17582200904068,46.456556449113904,-2.04827278877587,-2.523589481689585,0.3740257354211706,3,29,-1.883464820603172,41.48148148148148,-16.358557476502057,0.0,720,2.0,3.0,2.0,1.0,False,"oos_trades,drawdown,oos_sharpe"
MA_12_26_TS720_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,75,38.666666666666664,-43.874158343499715,45.18530063549048,-2.092221064474012,-2.5741183508283116,0.38630707202271874,3,29,-1.883464820603172,41.48148148148148,-16.358557476502057,0.0,720,2.0,4.5,1.5,1.0,False,"oos_trades,drawdown,oos_sharpe"
MA_12_26_TS240_SL2.0_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,75,21.333333333333336,-42.48919861286796,42.48919861286796,-2.913502125638301,-3.262585031089073,0.18616119048335808,3,29,-3.2465057230646663,17.037037037037038,-17.24309702159855,0.0,240,2.0,3.0,2.0,1.0,False,"oos_trades,drawdown,oos_sharpe"
MA_12_26_TS240_SL2.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,75,21.333333333333336,-43.62050153423912,43.62050153423912,-3.0867296995631066,-3.3835710280514606,0.15559660425031865,3,29,-3.2465057230646663,17.037037037037038,-17.24309702159855,0.0,240,2.0,4.5,1.5,1.0,False,"oos_trades,drawdown,oos_sharpe"
MA_12_26_TS240_SL1.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,75,21.333333333333336,-40.61680329241721,40.61680329241721,-2.959911003614831,-3.3850133563661964,0.1948564482423363,3,29,-3.2206219536417326,17.037037037037038,-17.303297692618948,0.0,240,1.5,3.0,2.0,1.0,False,"oos_trades,drawdown,oos_sharpe"
MA_12_26_TS240_SL2.5_TP3.0,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,75,21.333333333333336,-43.95294433112661,43.95294433112661,-2.9413984055229965,-3.21225375728047,0.17153795319027382,3,29,-3.4407462254383283,17.037037037037038,-17.825348207669744,0.0,240,2.5,3.0,2.5,1.5,False,"oos_trades,drawdown,oos_sharpe"
MA_12_26_TS240_SL3.0_TP4.5,simple_ma,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,75,21.333333333333336,-44.35128475234269,44.35128475234269,-2.910856961504219,-3.165555076981839,0.1688049413594501,3,29,-3.4407462254383283,17.037037037037038,-17.825348207669744,0.0,240,3.0,4.5,2.0,1.5,False,"oos_trades,drawdown,oos_sharpe"
