name,strategy_label,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,wfo_windows,oos_total_trades,oos_mean_sharpe,oos_mean_win_rate,oos_total_return_pct,oos_profit_factor,time_stop_minutes,sl_atr,tp_atr,trailing_act,trailing_off,passes_gates,failure_reasons
CCI_80_-80_ATR0.005_TS720_SL2.0_TP3.0,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,156,0.4551282051282051,-32.97401954172908,43.1131654530817,-0.8018515279742701,-1.196765562260645,0.7829245831283372,3,40,0.5749753552528697,0.4976190476190476,-0.8121440985692452,0.0,720,2.0,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.008_TS720_SL2.0_TP3.0,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,154,0.461038961038961,-25.981097364579046,37.380661243695826,-0.5922718180671815,-0.907697669231936,0.8211552885106773,3,40,0.5749753552528697,0.4976190476190476,-0.8121440985692452,0.0,720,2.0,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.005_TS1440_SL2.0_TP3.0,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,138,0.4782608695652174,-31.070274798266457,43.709272846795905,-0.5992132227101896,-0.8635483207625888,0.801683097967553,3,35,0.7177250624006065,0.46438746438746437,-1.3635473733471404,0.0,1440,2.0,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.008_TS1440_SL2.0_TP3.0,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,137,0.48175182481751827,-27.57144076856406,43.709272846795905,-0.5113853276731902,-0.7456284139020233,0.8202249848076656,3,35,0.7177250624006065,0.46438746438746437,-1.3635473733471404,0.0,1440,2.0,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.005_TS720_SL1.5_TP3.0,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,156,0.44871794871794873,-34.2486618004735,45.36915849166662,-0.8754184185665055,-1.322582946352043,0.7758856441622503,3,40,0.3910925816484796,0.48095238095238096,-2.743629831290806,0.0,720,1.5,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.008_TS720_SL1.5_TP3.0,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,154,0.45454545454545453,-28.907958142503574,40.93172583902391,-0.7076187256800126,-1.0933701088047745,0.8043514283286689,3,40,0.3910925816484796,0.48095238095238096,-2.743629831290806,0.0,720,1.5,3.0,2.0,1.0,False,drawdown
CCI_80_-80_ATR0.005_TS1440_SL2.0_TP4.5,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,140,0.5142857142857142,-48.280906230615784,54.11520221196471,-1.2726598120505594,-1.747801324885761,0.6526885100130725,3,36,0.7448357123702762,0.4973544973544974,-2.81444569201994,0.0,1440,2.0,4.5,1.5,1.0,False,drawdown
CCI_80_-80_ATR0.008_TS1440_SL2.0_TP4.5,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,138,0.5217391304347826,-42.88497475256456,51.874092628738836,-1.0863179855761353,-1.5160142668246421,0.6793348504744726,3,36,0.7448357123702762,0.4973544973544974,-2.81444569201994,0.0,1440,2.0,4.5,1.5,1.0,False,drawdown
CCI_100_-100_ATR0.005_TS1440_SL1.5_TP3.0,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,143,0.4195804195804196,-54.2847453585554,62.53651460430692,-1.484545513007433,-2.0695731545503024,0.6699433486923392,3,36,-0.06709004923041546,0.5157967032967034,-4.480912972732498,0.0,1440,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
CCI_100_-100_ATR0.008_TS1440_SL1.5_TP3.0,cci_breakout,ETHUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-07T16:00:00+00:00,142,0.4225352112676056,-52.46276822447372,61.04341095019154,-1.418060793724103,-1.9912875065722635,0.6776005953773535,3,36,-0.06709004923041546,0.5157967032967034,-4.480912972732498,0.0,1440,1.5,3.0,2.0,1.0,False,"drawdown,oos_sharpe"
