name,strategy_name,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,avg_win_loss_ratio,wfo_windows,wfo_total_trades,wfo_mean_sharpe,wfo_total_return_pct,passes_gates,failure_reasons
mtf-0001,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,207,57.48792270531401,-72.2471914967617,73.269239962184,-2.707988348536389,-3.4768434114613735,0.5095863169592121,0.37683694027235853,3,81,-3.5056773360863733,-41.076908450016916,False,"drawdown,wfo_sharpe"
mtf-0002,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,485,39.58762886597938,-92.24323676938718,93.59453751729187,-2.896010190911433,-3.9425353029255388,0.6119744464485335,0.9338985042157308,3,209,-2.5941929424335193,-57.32840711525478,False,"drawdown,wfo_sharpe"
mtf-0003,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,212,57.07547169811321,-73.9122971941826,74.87302506487605,-2.759437288080883,-3.5123120148161697,0.5098083915986594,0.3834096168221323,3,83,-3.3574270607608057,-42.7642297736564,False,"drawdown,wfo_sharpe"
mtf-0004,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,490,39.59183673469388,-92.70862500738595,93.97885076880762,-2.9425750147107417,-3.989506313806941,0.6130851693381133,0.9354289181653688,3,211,-2.6406067423624173,-58.55035061302625,False,"drawdown,wfo_sharpe"
mtf-0005,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,207,57.48792270531401,-72.2471914967617,73.269239962184,-2.707988348536389,-3.4768434114613735,0.5095863169592121,0.37683694027235853,3,81,-3.5056773360863733,-41.076908450016916,False,"drawdown,wfo_sharpe"
mtf-0006,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,485,39.58762886597938,-92.24323676938718,93.59453751729187,-2.896010190911433,-3.9425353029255388,0.6119744464485335,0.9338985042157308,3,209,-2.5941929424335193,-57.32840711525478,False,"drawdown,wfo_sharpe"
mtf-0007,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,212,57.07547169811321,-73.9122971941826,74.87302506487605,-2.759437288080883,-3.5123120148161697,0.5098083915986594,0.3834096168221323,3,83,-3.3574270607608057,-42.7642297736564,False,"drawdown,wfo_sharpe"
mtf-0008,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,490,39.59183673469388,-92.70862500738595,93.97885076880762,-2.9425750147107417,-3.989506313806941,0.6130851693381133,0.9354289181653688,3,211,-2.6406067423624173,-58.55035061302625,False,"drawdown,wfo_sharpe"
mtf-0009,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,207,57.48792270531401,-72.2471914967617,73.269239962184,-2.707988348536389,-3.4768434114613735,0.5095863169592121,0.37683694027235853,3,81,-3.5056773360863733,-41.076908450016916,False,"drawdown,wfo_sharpe"
mtf-0010,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,485,39.58762886597938,-92.24323676938718,93.59453751729187,-2.896010190911433,-3.9425353029255388,0.6119744464485335,0.9338985042157308,3,209,-2.5941929424335193,-57.32840711525478,False,"drawdown,wfo_sharpe"
mtf-0011,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,212,57.07547169811321,-73.9122971941826,74.87302506487605,-2.759437288080883,-3.5123120148161697,0.5098083915986594,0.3834096168221323,3,83,-3.3574270607608057,-42.7642297736564,False,"drawdown,wfo_sharpe"
mtf-0012,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,490,39.59183673469388,-92.70862500738595,93.97885076880762,-2.9425750147107417,-3.989506313806941,0.6130851693381133,0.9354289181653688,3,211,-2.6406067423624173,-58.55035061302625,False,"drawdown,wfo_sharpe"
mtf-0013,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,207,57.48792270531401,-72.2471914967617,73.269239962184,-2.707988348536389,-3.4768434114613735,0.5095863169592121,0.37683694027235853,3,81,-3.5056773360863733,-41.076908450016916,False,"drawdown,wfo_sharpe"
mtf-0014,mtf_breakout,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,485,39.58762886597938,-92.24323676938718,93.59453751729187,-2.896010190911433,-3.9425353029255388,0.6119744464485335,0.9338985042157308,3,209,-2.5941929424335193,-57.32840711525478,False,"drawdown,wfo_sharpe"
