name,strategy_label,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,wfo_windows,oos_total_trades,oos_mean_sharpe,oos_mean_win_rate,oos_total_return_pct,oos_profit_factor,time_stop_minutes,sl_atr,tp_atr,trailing_act,trailing_off,passes_gates,failure_reasons
MA_12_26_TS1440_SL1.5_TP3.0,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,45.09803921568628,-17.406129234947038,24.44939931129219,-0.5774979035259202,-0.7970130909326207,0.7620989867930585,3,14,0.7841068800167772,42.22222222222222,7.972761610058643,0.0,1440,1.5,3.0,2.0,1.0,False,"oos_trades,drawdown"
MA_12_26_TS720_SL2.5_TP3.0,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,45.09803921568628,-7.614948023646593,24.42538259231765,-0.2846288388897977,-0.3886053848250652,0.8658674446521821,3,14,0.6978544049993413,38.51851851851852,5.199086211021187,0.0,720,2.5,3.0,2.5,1.5,False,"oos_trades,drawdown"
MA_12_26_TS1440_SL2.0_TP3.0,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,47.05882352941176,-21.332240210625926,27.230344044229298,-0.7170908494810107,-0.9793819629752071,0.7293924575275059,3,14,0.5185063542690126,42.22222222222222,4.615540386951111,0.0,1440,2.0,3.0,2.0,1.0,False,"oos_trades,drawdown"
MA_12_26_TS720_SL1.5_TP3.0,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,43.13725490196079,-7.163845544657943,19.256780428963232,-0.26693127667277455,-0.3857732085918903,0.8702374187808677,3,14,0.4813465970901023,38.51851851851852,4.547788055300583,0.0,720,1.5,3.0,2.0,1.0,False,"oos_trades,drawdown"
MA_12_26_TS720_SL3.0_TP4.5,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,45.09803921568628,-7.594961982018976,23.761059552396226,-0.288197655850662,-0.39740115590486186,0.8636499639809383,3,14,0.6084727572531975,38.51851851851852,4.304973077958096,0.0,720,3.0,4.5,2.0,1.5,False,"oos_trades,drawdown"
MA_12_26_TS720_SL2.0_TP3.0,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,45.09803921568628,-7.959119222288299,21.73730238860928,-0.29081559591637257,-0.4127848980875109,0.863902155964928,3,14,0.3255510056963895,38.51851851851852,3.452552849780477,0.0,720,2.0,3.0,2.0,1.0,False,"oos_trades,drawdown"
MA_12_26_TS720_SL2.0_TP4.5,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,45.09803921568628,-21.94014339428286,27.294551914056054,-1.1164986692396974,-1.4120544981704173,0.5895267530793769,3,14,0.20692296401228039,38.51851851851852,1.8353736102118212,0.0,720,2.0,4.5,1.5,1.0,False,"oos_trades,drawdown,oos_sharpe"
MA_12_26_TS240_SL2.5_TP3.0,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,41.17647058823529,-9.87269947150724,13.224902567694595,-0.9034844025566845,-1.2428340283675146,0.6048467099433027,3,14,-0.43413484343584524,28.14814814814815,-0.9809434470896661,0.0,240,2.5,3.0,2.5,1.5,False,"oos_trades,oos_sharpe"
MA_12_26_TS240_SL2.0_TP3.0,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,41.17647058823529,-9.87269947150724,13.224902567694595,-0.9034844025566845,-1.2428340283675146,0.6048467099433027,3,14,-0.43413484343584524,28.14814814814815,-0.9809434470896661,0.0,240,2.0,3.0,2.0,1.0,False,"oos_trades,oos_sharpe"
MA_12_26_TS240_SL3.0_TP4.5,simple_ma,SOLUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-08T04:00:00+00:00,51,41.17647058823529,-9.87269947150724,13.224902567694595,-0.9034844025566845,-1.2428340283675146,0.6048467099433027,3,14,-0.43413484343584524,28.14814814814815,-0.9809434470896661,0.0,240,3.0,4.5,2.0,1.5,False,"oos_trades,oos_sharpe"
