timestamp	run_id	commit	score	status	passes_gates	symbol	timeframe	start	end	wfo_return_pct	wfo_mean_sharpe	max_drawdown_pct	bootstrap_p_loss_pct	profit_concentration_pct	total_trades	description
2026-03-11T19:37:38.173278+00:00	20260311-193737	507772a	0.000000	crash	false					0.00	0.00	0.00	0.00	0.00	0	baseline
2026-03-11T19:37:50.990421+00:00	20260311-193750	507772a	0.000000	crash	false					0.00	0.00	0.00	0.00	0.00	0	baseline
2026-03-11T19:40:59.574529+00:00	20260311-194058	507772a	0.000000	crash	false					0.00	0.00	0.00	0.00	0.00	0	baseline
2026-03-11T19:41:29.856209+00:00	20260311-194128	507772a	0.000000	crash	false					0.00	0.00	0.00	0.00	0.00	0	baseline
2026-03-11T19:42:04.011611+00:00	20260311-194202	507772a	-387.798411	keep	false	SOLUSDT	4h	2024-02-03T04:00:00+00:00	2026-03-05T04:00:00+00:00	-7.23	-1.47	25.20	76.80	100.00	51	baseline
2026-03-11T19:43:28.789364+00:00	20260311-194327	507772a	-119.143348	keep	false	SOLUSDT	4h	2024-02-03T04:00:00+00:00	2026-03-05T04:00:00+00:00	4.66	0.45	3.53	0.00	100.00	2	trend pullback only
2026-03-11T19:43:57.251661+00:00	20260311-194356	507772a	-249.871291	discard	false	SOLUSDT	4h	2024-02-03T04:00:00+00:00	2026-03-05T04:00:00+00:00	4.66	0.45	10.23	70.20	100.00	8	trend pullback only looser
2026-03-11T19:44:29.811525+00:00	20260311-194428	507772a	-543.321402	discard	false	SOLUSDT	4h	2024-02-03T04:00:00+00:00	2026-03-05T04:00:00+00:00	-1.55	-0.05	50.58	100.00	100.00	55	trend pullback plus macd
2026-03-11T19:44:50.600250+00:00	20260311-194449	507772a	-169.143348	discard	false	SOLUSDT	4h	2024-02-03T04:00:00+00:00	2026-03-05T04:00:00+00:00	4.66	0.45	9.73	43.00	100.00	6	trend pullback continuation looser
2026-03-11T19:49:16.943176+00:00	20260311-194915	507772a	-116.143348	keep	false	SOLUSDT	4h	2024-02-03T04:00:00+00:00	2026-03-05T04:00:00+00:00	4.66	0.45	5.76	24.60	100.00	5	trend pullback v3 041
2026-03-11T19:52:38.742040+00:00	20260311-195237	507772a	-146.808557	discard	false	SOLUSDT	4h	2024-02-03T04:00:00+00:00	2026-03-05T04:00:00+00:00	1.18	0.12	4.62	32.80	100.00	6	trend pullback v3 041 after vwap reclaim
